group,condition,modal,Sound,TopLeft_loc1,BottomLeft_loc2,TopRight_loc3,BottomRight_loc4,targetloc,comploc,dist1loc,dist2loc,displayID
1,exp,always,marble_always_green.wav,marble_100-0_g.png,marble_25-75_g-b.png,wheel_100-0_g.png,wheel_25-75_g-b.png,LT,LB,RT,RB,5
1,exp,always,marble_always_yellow.wav,marble_25-75_y-g.png,marble_100-0_y.png,wheel_100-0_g.png,wheel_25-75_g-y.png,LB,LT,RT,RB,7
1,exp,always,arrow_always_yellow.wav,marble_100-0_y.png,marble_25-75_y-g.png,wheel_25-75_y-g.png,wheel_100-0_y.png,RB,RT,LT,LB,12
1,exp,always,arrow_always_blue.wav,marble_25-75_y-b.png,marble_100-0_y.png,wheel_100-0_b.png,wheel_25-75_b-y.png,RT,RB,LB,LT,24
1,exp,never,marble_never_yellow.wav,marble_25-75_b-y.png,marble_100-0_b.png,wheel_100-0_y.png,wheel_25-75_y-b.png,LB,LT,RT,RB,1
1,exp,never,arrow_never_yellow.wav,marble_100-0_y.png,marble_25-75_y-g.png,wheel_25-75_g-y.png,wheel_100-0_g.png,RB,RT,LT,LB,8
1,exp,never,marble_never_blue.wav,marble_100-0_y.png,marble_25-75_y-b.png,wheel_100-0_y.png,wheel_25-75_y-b.png,LT,LB,RT,RB,9
1,exp,never,arrow_never_green.wav,marble_100-0_b.png,marble_25-75_b-g.png,wheel_100-0_b.png,wheel_25-75_b-g.png,RT,RB,LT,LB,14
1,exp,rarely,arrow_rarely_yellow.wav,wheel_25-75_y-b.png,wheel_100-0_y.png,marble_100-0_b.png,marble_25-75_b-y.png,LT,LB,RB,RT,2
1,exp,rarely,marble_rarely_blue.wav,wheel_100-0_b.png,wheel_25-75_b-g.png,marble_25-75_b-g.png,marble_100-0_b.png,RT,RB,LB,LT,13
1,exp,rarely,marble_rarely_green.wav,marble_100-0_g.png,marble_25-75_g-y.png,wheel_100-0_y.png,wheel_25-75_y-g.png,LB,LT,RB,RT,19
1,exp,rarely,arrow_rarely_green.wav,marble_100-0_g.png,marble_25-75_g-y.png,wheel_100-0_g.png,wheel_25-75_g-y.png,RB,RT,LB,LT,22
1,exp,usually,arrow_usually_blue.wav,wheel_25-75_g-b.png,wheel_100-0_g.png,marble_25-75_g-b.png,marble_100-0_g.png,LT,LB,RT,RB,6
1,exp,usually,marble_usually_yellow.wav,marble_100-0_b.png,marble_25-75_b-y.png,wheel_100-0_b.png,wheel_25-75_b-y.png,LB,LT,RB,RT,15
1,exp,usually,marble_usually_blue.wav,wheel_25-75_b-g.png,wheel_100-0_b.png,marble_100-0_g.png,marble_25-75_g-b.png,RB,RT,LT,LB,17
1,exp,usually,arrow_usually_green.wav,marble_100-0_g.png,marble_25-75_g-y.png,wheel_25-75_y-g.png,wheel_100-0_y.png,RT,RB,LB,LT,20
1,filler,0,marble_0percent_green.wav,marble_100-0_b.png,marble_25-75_b-g.png,wheel_100-0_g.png,wheel_25-75_g-b.png,LT,LB,RT,RB,3
1,filler,0,arrow_0percent_blue.wav,wheel_25-75_y-b.png,wheel_100-0_y.png,marble_100-0_y.png,marble_25-75_y-b.png,LB,LT,RT,RB,10
1,filler,0,arrow_0percent_yellow.wav,marble_25-75_g-y.png,marble_25-75_y-g.png,wheel_100-0_g.png,wheel_100-0_y.png,RT,RB,LB,LT,25
